County,pol1,Population Estimate 2017,pol2,pol3,pol4,pol5,pol6,pol7,pol8,pol9,pol9a,pol11,pol12,ppol11,ppol12,ppol13,ppol14,ppol15,ppol15a,ppol21,ppol22,ppol23,ppol24,ppol25,ppol25a,ppol31,ppol32,ppol33,ppol34,ppol35,ppol35a,ppol41,ppol42,ppol43,ppol44,ppol45,ppol45a
Los Angeles,Hermosa Beach,"19,708",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Hidden Hills,"1,921",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Huntington Park,"58,822",0,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Industry,204,0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Inglewood,"110,598",0,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Irwindale,"1,461",0,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,La Canada Flintridge,"20,413",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,La Habra Heights,"5,403",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Lakewood,"80,967",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,La Mirada,"49,095",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Lancaster,"160,316",1,0,10-54,,1,2010,2010,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,La Puente,"40,322",1,1,17-5319,,2,1/10/2017,1/10/2017,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,La Verne,"32,461",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Lawndale,"33,078",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Lomita,"20,707",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Long Beach,"469,450",1,1,18-0032,,2,3/13/2018,3/13/2018,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Los Angeles,"3,999,759",1,1,,,2,9/8/2017,9/8/2017,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Lynwood,"71,099",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Malibu,"12,877",1,1,17-08,,2,3/13/2017,3/13/2017,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Manhattan Beach,"35,924",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Maywood,"27,586",1,1,TBD,,2,2006,,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Monrovia,"37,061",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Montebello,"63,192",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Monterey Park,"61,044",1,1,,,2,2/15/2017,2/15/2017,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Norwalk,"106,084",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Palmdale,"157,519",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Palos Verdes Estates,"13,544",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Paramount,"54,909",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Pasadena,"142,647",1,1,,,2,3/27/2017,3/27/2017,1,,0,,1,1,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Pico Rivera,"63,522",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Pomona,"152,939",1,1,2017-4244,,2,12/18/2017,1/18/2018,2,,0,,1,1,12/5/2016,12/5/2016,1,,,,,,,,,,,,,,,,,,,
Los Angeles,Rancho Palos Verdes,"42,364",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Redondo Beach,"67,908",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Rolling Hills,"1,882",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Rolling Hills Estates,"8,226",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Rosemead,"54,554",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,San Dimas,"34,326",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,San Fernando,"24,714",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,San Gabriel,"40,514",1,1,18-15,,2,4/3/2018,4/3/2018,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,San Marino,"13,327",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Santa Clarita,"210,888",1,0,18-18,,2,5/8/2018,5/8/2018,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Santa Fe Springs,"17,980",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
