,GEO.display-label,2010,2011,2012,2013,2014,2015,2016,2017
186,"Calpella CDP, California",2.3,20.8,22.8,26.8,26.7,29.4,27.5,12.5
187,"Calpine CDP, California",0,17.5,17.8,18.3,17.5,14,0,0
188,"Calwa CDP, California",49.5,66.9,80.6,77,72,45,37.3,11.1
189,"Camanche North Shore CDP, California",19.3,13.4,7.1,5.2,4.8,4.6,3.4,0
190,"Camanche Village CDP, California",11.5,11.2,11.5,7.7,16.5,0.6,3.2,2.9
191,"Camarillo city, California",4.7,5.6,5.9,5.8,5.5,6.4,6.2,6.9
192,"Cambria CDP, California",5.2,5,5.9,7.9,7.2,6.9,8,9.3
193,"Cambrian Park CDP, California",6.8,1.4,2.3,1.8,4.1,3.1,4.5,3.8
194,"Cameron Park CDP, California",5.1,4.3,4.6,5.2,7.6,9.9,11.7,11.6
195,"Camino CDP, California",13.5,13.3,9.1,10.3,10.6,11.9,12.4,10.5
196,"Camino Tassajara CDP, California",0.8,0.8,3.6,3.5,3.4,8,4.8,3.3
197,"Campbell city, California",7.6,7,6.7,7.2,6.6,6.2,6.8,7
198,"Camp Nelson CDP, California",57.6,34.5,0,0,0,0,0,-
199,"Campo CDP, California",14.4,17.6,26.8,38.8,17,26.8,19.7,16.9
200,"Camp Pendleton North CDP, California",6.1,13.7,15.5,18.7,13.7,10.8,6.7,4.3
201,"Camp Pendleton South CDP, California",7.8,8.6,6.9,8.8,9.1,9,10.6,12.8
202,"Camptonville CDP, California",9.6,25.2,18.1,16.7,19.3,15.7,11.1,10.7
203,"Canby CDP, California",38.7,46.4,48.2,46.5,38.3,19.3,20.6,23.2
204,"Cantua Creek CDP, California",80.5,78.2,67.8,44.2,38.6,32.7,21.9,6
205,"Canyondam CDP, California",-,-,-,-,0,0,0,0
206,"Canyon Lake city, California",5,4.9,5.4,6.2,5.4,6.5,6.3,6.4
207,"Capitola city, California",9.4,10.4,11.6,8,7.4,10,11.6,12.7
208,"Caribou CDP, California",-,-,-,-,-,-,-,-
209,"Carlsbad city, California",7.2,8.4,9.7,10.6,10.3,9.1,7.9,6.6
210,"Carmel-by-the-Sea city, California",4.9,7.6,7.8,6.4,7.9,8.1,6.1,6.5
211,"Carmel Valley Village CDP, California",9.8,8.6,10.1,7.1,4.6,4.7,4.4,3.8
212,"Carmet CDP, California",0,0,57.1,57.7,57.1,53.3,53.8,-
213,"Carmichael CDP, California",10.2,12.1,12.9,13.9,15.4,16.6,15.1,15.2
214,"Carnelian Bay CDP, California",11.7,11.4,10.7,8.2,17.9,12.5,15.5,17.6
215,"Carpinteria city, California",10.7,10.5,8.1,7.5,8.5,9.3,8.8,7.7
216,"Carrick CDP, California",30.6,35,12.5,0,0,0,0,0
217,"Carson city, California",8,7.8,8.5,10,11.5,10.9,11.3,10.6
218,"Cartago CDP, California",0,0,23.1,28.2,26.3,28.2,52,0
219,"Caruthers CDP, California",15.7,17.9,19,21,30,31.3,24.6,17.9
220,"Casa Conejo CDP, California",10.6,15.3,13.1,13.7,12.6,10,5,3.4
221,"Casa de Oro-Mount Helix CDP, California",4.8,6.7,8.4,12.2,12.6,12,11.4,12.7
222,"Casmalia CDP, California",0,0,0,0,0,0,0,0
223,"Caspar CDP, California",7,10.5,17.6,19.6,18.4,9,11.3,2.4
224,"Cassel CDP, California",0,0,0,12.4,23.5,23.5,29.6,25.1
225,"Castaic CDP, California",5.8,5.7,7,8.6,7.8,6.8,7.2,5.6
226,"Castle Hill CDP, California",0,6.2,6.4,3.4,2.1,1.9,0.6,0.7
227,"Castro Valley CDP, California",6.6,6.9,7.3,7.8,8,7.4,6.9,6.5
228,"Castroville CDP, California",13.8,14.7,20.7,25,21.5,25.2,24.3,20
229,"Cathedral City city, California",16.3,18.8,20.2,20.5,21.9,23.1,21.8,20.7
230,"Catheys Valley CDP, California",36.9,33.8,20.9,15,24.5,16.9,20.7,18.1
231,"Cayucos CDP, California",15.8,18.3,15.8,12,12.8,9.6,9.1,13.4
232,"Cazadero CDP, California",18,16.1,16,12.8,15.4,11.8,11.6,7.6
233,"Cedar Ridge CDP, California",4.9,7.5,7.5,7,9.6,12.5,10.1,13.9
234,"Cedar Slope CDP, California",-,-,-,-,-,-,-,-
235,"Cedarville CDP, California",25.3,20.4,20.6,14.5,16.8,19.7,17.8,13.3
236,"Centerville CDP, California",24.8,18.6,16.1,29.7,28.4,22,16.9,17.8
237,"Ceres city, California",16.9,18.6,19.9,20.5,20,17.9,16.7,15.2
238,"Cerritos city, California",6.1,5.5,5.7,5.5,4.2,4.8,4.8,5
239,"Chalfant CDP, California",7.3,13.5,8,9.2,4.2,9.6,10.3,5.5
240,"Challenge-Brownsville CDP, California",18.4,25.7,25.9,35.2,32.3,29.7,6.2,5.4
241,"Channel Islands Beach CDP, California",2.8,1.9,1.9,2.1,0.3,2.3,2.6,3.2
242,"Charter Oak CDP, California",9.5,8.7,8.3,11.1,10.5,11.6,11.2,12.8
243,"Cherokee CDP, California",66,25.5,24.1,0,0,0,0,0
244,"Cherokee Strip CDP, California",0,39.2,46.7,39.5,47.8,59.7,26.2,11.7
245,"Cherryland CDP, California",21,21.2,22,25.9,26.7,24.8,24.7,22.8
246,"Cherry Valley CDP, California",4.7,4.6,9.4,7.2,9,9.8,15.3,14.3
247,"Chester CDP, California",13.9,12.4,11.6,11.7,11.5,13.6,12.4,8.9
248,"Chico city, California",21.2,21.7,22.9,23.2,24.5,24.9,25.2,24.6
249,"Chilcoot-Vinton CDP, California",4.6,5.8,6.1,15.5,0,0,32.8,28.6
250,"China Lake Acres CDP, California",26.9,19.8,25.2,39.1,44.5,48.5,38,41.3
251,"Chinese Camp CDP, California",11,11.2,12.4,13.8,5.1,0,0,0
252,"Chino city, California",6.2,7.4,9.6,10,10.9,11.6,12.2,11.7
253,"Chino Hills city, California",4.1,4.7,6.3,6.1,6.3,6.5,6.7,6.3
254,"Chowchilla city, California",18.4,17.5,18.4,27.7,30,32.1,31.4,29
255,"Chualar CDP, California",14,14.3,6.4,5.9,9.5,14.1,16.2,22.9
256,"Chula Vista city, California",9.6,9.7,10.4,11.8,12.1,12.5,12.2,12.3
257,"Citrus CDP, California",9,7.1,7.8,10.9,14.3,13.9,12.6,12.3
258,"Citrus Heights city, California",11.8,12.1,12.8,14.7,15.4,15.4,14.5,13.2
259,"Claremont city, California",6.4,6.5,8.6,7.2,8,8.2,9.5,8.5
260,"Clarksburg CDP, California",0,4.5,4.5,4.6,4.7,5.1,0,0
261,"Clay CDP, California",5.6,6.5,8.5,8.8,3.6,4.7,4.5,4
262,"Clayton city, California",3.1,3.9,4.4,3.7,3.9,4,2.8,2.3
263,"Clear Creek CDP, California",4.2,18.1,16,32.8,33.5,48.8,50.7,48.2
264,"Clearlake city, California",32.9,32.9,36.4,36.3,34.8,37.5,38.1,35.9
265,"Clearlake Oaks CDP, California",5.7,15.3,22.8,33.9,35,31.4,29.3,20.3
266,"Clearlake Riviera CDP, California",8.2,15.2,18.4,20.7,17.5,22.1,17.6,19.8
267,"Cleone CDP, California",26.1,14.9,8.9,10.5,9.7,14.8,18.5,15.9
268,"Clio CDP, California",0,53.7,41,45.7,24.5,25.5,0,0
269,"Clipper Mills CDP, California",0,0,-,-,-,0,0,0
270,"Cloverdale city, California",6.4,6.1,5.9,5,7,6.7,5.4,6.6
271,"Clovis city, California",10.2,10.4,12.1,13.2,13.9,13.8,13.2,12.7
272,"Clyde CDP, California",0,0,2.4,12.5,19.9,24.5,21.2,15.4
273,"Coachella city, California",23.7,26.3,27.9,30.9,31.5,31.6,30.1,28
274,"Coalinga city, California",23.3,25.2,23.6,22.8,23.5,23.2,23.7,23.7
275,"Coarsegold CDP, California",13.2,6.5,10.3,18.4,17.8,16.4,11.7,5.8
276,"Cobb CDP, California",15.5,19.5,24.5,28.4,19.4,17.3,12.7,2.7
277,"Coffee Creek CDP, California",8.5,8.7,6.2,6.7,15.2,12.7,4,6.7
278,"Cohasset CDP, California",8.3,10.5,7.5,8.5,12,11.5,5.6,7
279,"Cold Springs CDP (El Dorado County), California",0,0,3.1,6.5,34.3,29,26.6,17.6
280,"Cold Springs CDP (Tuolumne County), California",12.2,5.8,4,11,5.2,0,0,0
281,"Coleville CDP, California",2.5,0,0,0,0,0,8.6,11.6
282,"Colfax city, California",6,7.1,7.7,11,10.4,11.4,12.9,14.7
283,"College City CDP, California",0,0,0,0,0,0,0,0
284,"Collierville CDP, California",8.8,19.3,13.6,19.4,18.2,18.9,10.1,11.7
285,"Colma town, California",2.8,7.4,7.7,8,10.3,15.3,9,7.5
286,"Coloma CDP, California",1.7,16.3,10.4,9.3,8,6.3,2.9,3.8
287,"Colton city, California",17.9,22.2,22.5,24.5,23.3,22.1,20.5,18.3
288,"Columbia CDP, California",20.8,16.8,13.8,15.9,18.4,12.9,11.3,19.5
289,"Colusa city, California",14.5,11.9,13.5,10,16,18.1,18,16.2
290,"Commerce city, California",13.8,16.2,14.2,16.5,17.9,16,16.3,16
291,"Comptche CDP, California",66.7,48.1,17,0,0,0,0,7
292,"Compton city, California",22.8,24.9,26.2,26.3,26.7,26.6,25.5,23
293,"Concord city, California",9.6,11.2,11.3,12.1,13.1,13.3,12.2,11.2
294,"Concow CDP, California",24.7,30.3,22.3,17.3,15,22.4,18.1,15.9
295,"Copperopolis CDP, California",2.4,2.2,5.5,10.4,9.8,9.7,10.4,9.8
296,"Corcoran city, California",25.3,29.2,28,28.7,32.5,38.8,36.2,35.6
297,"Corning city, California",26.6,21.1,26.9,25.9,30.1,29.6,38.8,33
298,"Corona city, California",8.9,9,9.9,10.8,11.3,11.7,11.7,11.6
299,"Coronado city, California",6.1,6,6.4,6.7,6.3,6,5.8,5.3
300,"Coronita CDP, California",7.4,5.9,10.5,12.8,10.5,9.1,9.9,6.7
301,"Corralitos CDP, California",9.6,10.2,7.9,3,2,2.9,2.8,1.9
302,"Corte Madera town, California",2.2,2.8,3.8,3.7,4.5,5.7,3.7,3.9
303,"Costa Mesa city, California",13.3,13.1,14.1,15.1,15.1,14.5,13.5,13.8
304,"Cotati city, California",7.6,9.7,12.9,10.6,11.8,12.7,9.7,10.8
305,"Coto de Caza CDP, California",1.6,1.8,2,2.7,3.1,3.6,3.6,4.2
306,"Cottonwood CDP, California",16.4,21.4,24.1,32.3,31,34.4,31.1,33.5
307,"Country Club CDP, California",12.6,13.2,13.6,16.8,18.4,15.6,16.4,15.9
308,"Courtland CDP, California",9.7,6.6,17.4,28.9,27.4,27,32.9,31.6
309,"Covelo CDP, California",22.4,32.9,29.4,45.1,39.1,40.7,41.5,39.6
310,"Covina city, California",10.7,10.4,11.4,11.3,11.9,10.9,10.5,9.1
311,"Cowan CDP, California",14.3,14.2,31.5,28.7,43.7,45.7,53.8,27.7
312,"Crescent City city, California",33.3,33.7,31.6,24.2,30,28.7,29.1,31
313,"Crescent Mills CDP, California",0,0,0,0,4,5,4.4,26.3
314,"Cressey CDP, California",1.6,1.6,2.4,22.3,25.8,26.3,26.3,31
315,"Crest CDP, California",2.5,2.8,3.8,6.1,6.2,8.1,8.9,5.9
316,"Crestline CDP, California",16.5,16.5,16.8,19.1,18,16.6,14.7,15.3
317,"Creston CDP, California",0,0,0,0,0,0,0,0
318,"C-Road CDP, California",0,0,0,0,0,0,0,0
319,"Crockett CDP, California",13.9,12.4,11.4,9,9.5,9.7,9.9,9.2
320,"Cromberg CDP, California",12.6,17.7,30.7,25.9,19.8,20.5,13.8,0
321,"Crowley Lake CDP, California",10.6,15.9,5.4,11.1,9.9,10.4,20.7,26.6
322,"Crows Landing CDP, California",0,5,5.6,20.2,18.6,20.8,29.4,35.9
